job_id,job_title,company,location,experience_level,company_size,remote_type,salary_inr,salary_usd,primary_skill,skills,month,year,demand_score
JOB00038,Data Engineer,Oracle,Singapore,Senior Level,Startup (1-50),Hybrid,1553308,18714,Python,"Airflow, Python, Spark",Jan,2025,95.1
JOB00039,Research Scientist,Meesho,Austin,Senior Level,Startup (1-50),Hybrid,1761698,21225,Python,"PyTorch, Deep Learning, Statistics",Sep,2025,56.2
JOB00040,NLP Engineer,DeepMind,Austin,Lead,Small (51-200),Hybrid,3294493,39692,Python,"NLP, BERT, Transformers",Aug,2023,79.7
JOB00041,Business Intelligence Analyst,HCL,Toronto,Lead,Large (1001-5000),On-site,3554463,42824,SQL,"Tableau, SQL, Python",Oct,2025,75.3
JOB00042,Deep Learning Engineer,DeepMind,Mumbai,Director,Medium (201-1000),Remote,4615673,55610,Python,"Deep Learning, CUDA, Python",Nov,2023,52.3
JOB00043,Computer Vision Engineer,Oracle,Toronto,Director,Startup (1-50),On-site,4421937,53276,Python,"PyTorch, YOLO, OpenCV",Aug,2025,62.0
JOB00044,Deep Learning Engineer,Capgemini,Singapore,Entry Level,Startup (1-50),Hybrid,572900,6902,Python,"Python, Deep Learning, CUDA",Jun,2025,72.4
JOB00045,Quantitative Analyst,Cognizant,Chicago,Lead,Enterprise (5000+),Hybrid,2490309,30003,Python,"Optimization, Finance, Python",Dec,2024,86.4
JOB00046,Computer Vision Engineer,Capgemini,New York,Lead,Medium (201-1000),Hybrid,2854474,34391,Python,"OpenCV, Deep Learning, YOLO",Nov,2024,53.8
JOB00047,AI Engineer,Netflix,Chicago,Mid Level,Medium (201-1000),Remote,1117085,13458,Python,"Machine Learning, Cloud, NLP",Jul,2025,84.0
JOB00048,Analytics Engineer,Wipro,Singapore,Mid Level,Startup (1-50),Hybrid,1390282,16750,SQL,"SQL, dbt, Snowflake",Aug,2025,69.1
JOB00049,Quantitative Analyst,DeepMind,Berlin,Director,Startup (1-50),Hybrid,4731942,57011,Python,"Finance, R, Optimization",Aug,2024,60.8
JOB00050,NLP Engineer,CRED,Berlin,Lead,Startup (1-50),On-site,2353740,28358,Python,"NLP, BERT, Python",Jul,2025,98.1
JOB00051,MLOps Engineer,Spotify,Bangalore,Entry Level,Large (1001-5000),Hybrid,629167,7580,Python,"Docker, Python, CI/CD",Mar,2024,68.6
JOB00052,Data Engineer,OpenAI,Chicago,Lead,Medium (201-1000),Hybrid,3015160,36327,Python,"Spark, Python, SQL",Oct,2024,50.9
JOB00053,MLOps Engineer,Microsoft,New York,Entry Level,Medium (201-1000),Remote,539077,6494,Python,"Docker, CI/CD, Python",Oct,2025,80.4
JOB00054,Data Engineer,Wipro,Delhi,Mid Level,Large (1001-5000),On-site,1310101,15784,Python,"Spark, AWS, Python",Sep,2023,79.7
JOB00055,Analytics Engineer,DeepMind,Austin,Entry Level,Small (51-200),On-site,692789,8346,SQL,"Snowflake, Airflow, Python",Apr,2023,59.7
JOB00056,Research Scientist,Airbnb,Austin,Mid Level,Startup (1-50),On-site,1367630,16477,Python,"Python, Deep Learning, PyTorch",Nov,2025,71.0
JOB00057,Business Intelligence Analyst,Accenture,Chicago,Entry Level,Enterprise (5000+),Remote,524470,6318,SQL,"Excel, Power BI, Python",Jan,2024,93.7
JOB00058,Computer Vision Engineer,OpenAI,Chennai,Mid Level,Large (1001-5000),On-site,1144341,13787,Python,"YOLO, PyTorch, OpenCV",Oct,2025,71.3
JOB00059,Analytics Engineer,OpenAI,Chicago,Director,Medium (201-1000),Hybrid,4723602,56910,SQL,"dbt, Snowflake, Python",Nov,2023,79.9
JOB00060,NLP Engineer,Accenture,Sydney,Senior Level,Startup (1-50),Remote,2521929,30384,Python,"Transformers, SpaCy, NLP",Nov,2023,63.7
JOB00061,Research Scientist,Netflix,Bangalore,Senior Level,Enterprise (5000+),Remote,2041872,24600,Python,"PyTorch, Statistics, Deep Learning",Sep,2023,87.2
JOB00062,Analytics Engineer,Anthropic,Toronto,Lead,Large (1001-5000),Remote,3110883,37480,SQL,"Snowflake, dbt, Airflow",Oct,2023,82.5
JOB00063,Business Intelligence Analyst,Swiggy,London,Lead,Enterprise (5000+),Hybrid,2668959,32156,SQL,"Excel, Power BI, Tableau",Aug,2025,62.3
JOB00064,Machine Learning Engineer,Salesforce,Delhi,Mid Level,Medium (201-1000),Remote,984682,11863,Python,"Machine Learning, TensorFlow, PyTorch",Oct,2025,85.5
JOB00065,Quantitative Analyst,Anthropic,Austin,Director,Enterprise (5000+),Remote,5048454,60824,Python,"Statistics, R, Finance",Dec,2023,50.7
JOB00066,MLOps Engineer,Anthropic,Hyderabad,Mid Level,Medium (201-1000),On-site,1444123,17399,Python,"Docker, MLflow, Python",Dec,2025,92.8
JOB00067,Research Scientist,Meta,Sydney,Senior Level,Large (1001-5000),Hybrid,2176236,26219,Python,"PyTorch, Python, Statistics",Aug,2023,69.6
JOB00068,Machine Learning Engineer,DeepMind,Pune,Director,Startup (1-50),Remote,5177384,62378,Python,"Machine Learning, Python, Deep Learning",May,2025,87.5
JOB00069,Research Scientist,TCS,New York,Director,Enterprise (5000+),Hybrid,4744104,57157,Python,"Deep Learning, PyTorch, Research",Oct,2024,77.9
JOB00070,Data Scientist,Netflix,San Francisco,Director,Startup (1-50),Remote,4064544,48970,Python,"Machine Learning, TensorFlow, Statistics",Sep,2024,53.7
JOB00071,Data Scientist,Anthropic,Sydney,Lead,Large (1001-5000),On-site,3373469,40644,Python,"Statistics, SQL, Python",Jun,2023,83.7
JOB00072,Applied Scientist,Intel,San Francisco,Senior Level,Enterprise (5000+),On-site,2707552,32621,Python,"Machine Learning, Research, Python",Aug,2025,53.5
JOB00073,Data Analyst,DeepMind,Austin,Senior Level,Enterprise (5000+),On-site,2188177,26363,SQL,"Tableau, Excel, Power BI",Aug,2024,76.5
JOB00074,Computer Vision Engineer,Flipkart,Hyderabad,Entry Level,Enterprise (5000+),On-site,740817,8925,Python,"Deep Learning, Python, PyTorch",Nov,2025,61.2
JOB00075,Deep Learning Engineer,OpenAI,Bangalore,Director,Enterprise (5000+),On-site,2731672,32911,Python,"Python, Deep Learning, PyTorch",Dec,2025,75.4
JOB00076,Computer Vision Engineer,Netflix,Singapore,Senior Level,Small (51-200),Hybrid,2471227,29773,Python,"Deep Learning, PyTorch, OpenCV",Sep,2024,65.7
JOB00077,Machine Learning Engineer,CRED,Singapore,Mid Level,Medium (201-1000),On-site,1215668,14646,Python,"Python, TensorFlow, PyTorch",Oct,2024,65.4
JOB00078,Business Intelligence Analyst,Wipro,Bangalore,Entry Level,Large (1001-5000),Hybrid,573089,6904,SQL,"SQL, Tableau, Power BI",Oct,2025,67.7
JOB00079,Quantitative Analyst,Spotify,Hyderabad,Lead,Large (1001-5000),Hybrid,3244045,39084,Python,"Finance, Optimization, Python",May,2025,51.4
JOB00080,Deep Learning Engineer,Meesho,Chennai,Director,Small (51-200),Remote,3158390,38052,Python,"Deep Learning, Python, CUDA",Jul,2023,96.4
JOB00081,Deep Learning Engineer,Meesho,Austin,Mid Level,Large (1001-5000),Hybrid,1160459,13981,Python,"PyTorch, Deep Learning, CUDA",Sep,2024,77.0
JOB00082,NLP Engineer,Meesho,Pune,Mid Level,Enterprise (5000+),Hybrid,1264280,15232,Python,"SpaCy, Transformers, Python",Nov,2024,63.9
JOB00083,AI Engineer,HCL,Sydney,Director,Enterprise (5000+),Hybrid,5497578,66235,Python,"Deep Learning, NLP, Machine Learning",Nov,2024,95.7
JOB00084,Data Science Manager,Microsoft,Berlin,Mid Level,Small (51-200),Hybrid,1106711,13333,Python,"Strategy, SQL, Leadership",Jun,2024,98.4
JOB00085,Quantitative Analyst,Swiggy,Hyderabad,Mid Level,Large (1001-5000),Remote,1054471,12704,Python,"Finance, Python, Statistics",Apr,2025,94.6
JOB00086,Data Scientist,Swiggy,Pune,Mid Level,Large (1001-5000),On-site,1109683,13369,Python,"SQL, Python, Machine Learning",Mar,2024,91.8
JOB00087,Data Science Manager,Microsoft,Chicago,Director,Large (1001-5000),On-site,5117896,61661,Python,"Python, Leadership, Machine Learning",Sep,2024,83.5
JOB00088,AI Engineer,Uber,Singapore,Mid Level,Startup (1-50),Hybrid,1259175,15170,Python,"Machine Learning, Deep Learning, Python",Dec,2025,52.3
JOB00089,Quantitative Analyst,NVIDIA,London,Entry Level,Medium (201-1000),On-site,552321,6654,Python,"Finance, R, Python",Jul,2023,58.6
JOB00090,Research Scientist,Twitter,New York,Lead,Enterprise (5000+),Remote,3446368,41522,Python,"PyTorch, Deep Learning, Research",Aug,2025,62.5
JOB00091,Data Scientist,DeepMind,Chennai,Lead,Medium (201-1000),On-site,3246597,39115,Python,"SQL, Statistics, Machine Learning",Mar,2024,91.4
JOB00092,Data Engineer,Zomato,Delhi,Lead,Large (1001-5000),On-site,3664949,44156,Python,"Spark, AWS, Python",Jun,2025,97.9
JOB00093,Deep Learning Engineer,Meta,Bangalore,Lead,Medium (201-1000),On-site,2863014,34494,Python,"PyTorch, TensorFlow, Python",Sep,2025,79.7
JOB00094,Business Intelligence Analyst,Spotify,Seattle,Mid Level,Small (51-200),On-site,1141020,13747,SQL,"SQL, Python, Tableau",Oct,2025,88.6
JOB00095,Data Scientist,Flipkart,Pune,Director,Medium (201-1000),On-site,4235326,51028,Python,"SQL, Machine Learning, Python",Apr,2024,56.5
JOB00096,MLOps Engineer,HCL,Seattle,Senior Level,Enterprise (5000+),Hybrid,1717040,20687,Python,"Kubernetes, Python, Docker",Nov,2024,97.2
JOB00097,Data Analyst,Google,London,Mid Level,Large (1001-5000),Hybrid,1253301,15100,SQL,"Power BI, SQL, Python",Apr,2024,68.1
JOB00098,Analytics Engineer,Uber,Berlin,Senior Level,Enterprise (5000+),On-site,2286148,27543,SQL,"dbt, Snowflake, SQL",Nov,2024,80.4
JOB00099,MLOps Engineer,Wipro,New York,Senior Level,Enterprise (5000+),On-site,2201687,26526,Python,"Kubernetes, MLflow, Python",Oct,2025,56.8
JOB00100,Data Scientist,Spotify,Delhi,Senior Level,Large (1001-5000),Hybrid,2122586,25573,Python,"SQL, Statistics, TensorFlow",Apr,2025,96.5
JOB00101,Analytics Engineer,Uber,Pune,Director,Large (1001-5000),Hybrid,3544624,42706,SQL,"Airflow, Snowflake, dbt",Nov,2025,51.6
JOB00102,Business Intelligence Analyst,Uber,Toronto,Mid Level,Large (1001-5000),On-site,1124283,13545,SQL,"Power BI, Python, SQL",Dec,2024,69.5
JOB00103,Data Engineer,Amazon,Mumbai,Entry Level,Large (1001-5000),Remote,569155,6857,Python,"Spark, SQL, Python",Oct,2025,88.6
JOB00104,Data Engineer,Swiggy,San Francisco,Entry Level,Enterprise (5000+),Remote,527795,6358,Python,"AWS, Python, SQL",Sep,2023,92.1
JOB00105,Data Analyst,Amazon,Seattle,Mid Level,Enterprise (5000+),Remote,1170968,14108,SQL,"SQL, Excel, Power BI",Nov,2023,78.9
JOB00106,Data Scientist,Capgemini,Hyderabad,Mid Level,Medium (201-1000),Remote,1272729,15334,Python,"Python, SQL, Machine Learning",Apr,2024,88.1
JOB00107,MLOps Engineer,Microsoft,Toronto,Director,Startup (1-50),On-site,5773175,69556,Python,"CI/CD, Kubernetes, Docker",Sep,2025,81.5
JOB00108,Data Scientist,Accenture,Berlin,Entry Level,Large (1001-5000),On-site,615712,7418,Python,"SQL, Python, TensorFlow",Aug,2023,65.8
JOB00109,Data Analyst,Flipkart,Seattle,Entry Level,Small (51-200),Hybrid,623179,7508,SQL,"Power BI, Excel, Python",Sep,2025,74.8
JOB00110,NLP Engineer,Meesho,San Francisco,Entry Level,Startup (1-50),Hybrid,593299,7148,Python,"BERT, SpaCy, NLP",Aug,2023,85.8
JOB00111,Business Intelligence Analyst,HCL,Seattle,Lead,Medium (201-1000),Remote,2278989,27457,SQL,"SQL, Python, Excel",Jul,2023,71.2
JOB00112,Analytics Engineer,Swiggy,Hyderabad,Senior Level,Small (51-200),On-site,2191250,26400,SQL,"SQL, Snowflake, dbt",Sep,2025,92.8
JOB00113,Quantitative Analyst,Uber,Austin,Lead,Startup (1-50),On-site,3228910,38902,Python,"Optimization, R, Python",Sep,2024,82.2
JOB00114,Data Engineer,Intel,London,Entry Level,Medium (201-1000),Hybrid,821691,9899,Python,"AWS, Python, Spark",Apr,2024,95.5
JOB00115,Data Science Manager,Swiggy,Chennai,Senior Level,Startup (1-50),Hybrid,2136520,25741,Python,"Python, Leadership, SQL",Jun,2024,77.7
JOB00116,NLP Engineer,IBM,Bangalore,Entry Level,Small (51-200),Hybrid,627139,7555,Python,"BERT, SpaCy, NLP",Apr,2025,57.7
JOB00117,AI Engineer,LinkedIn,Mumbai,Senior Level,Enterprise (5000+),On-site,2188545,26368,Python,"Python, Cloud, Machine Learning",Nov,2023,71.7
JOB00118,NLP Engineer,Cognizant,Toronto,Lead,Enterprise (5000+),Remote,2639034,31795,Python,"Transformers, BERT, Python",Aug,2023,63.9
JOB00119,Deep Learning Engineer,Meta,Austin,Director,Large (1001-5000),Remote,5271405,63510,Python,"Deep Learning, TensorFlow, Python",Feb,2024,87.6
JOB00120,Quantitative Analyst,Infosys,Chicago,Senior Level,Medium (201-1000),Remote,2448137,29495,Python,"R, Finance, Statistics",Apr,2024,84.5
JOB00121,MLOps Engineer,Microsoft,Mumbai,Director,Medium (201-1000),Hybrid,5033946,60649,Python,"Python, MLflow, CI/CD",Aug,2025,92.2
JOB00122,Research Scientist,Anthropic,Berlin,Lead,Enterprise (5000+),Remote,2763494,33295,Python,"PyTorch, Python, Research",Oct,2024,58.4
JOB00123,Research Scientist,NVIDIA,Mumbai,Lead,Medium (201-1000),Hybrid,3873341,46666,Python,"Statistics, PyTorch, Deep Learning",Aug,2023,53.9
JOB00124,Data Science Manager,Apple,New York,Senior Level,Medium (201-1000),On-site,1737389,20932,Python,"Python, Leadership, Strategy",Jul,2023,67.2
JOB00125,Data Science Manager,Salesforce,Delhi,Mid Level,Small (51-200),On-site,1305634,15730,Python,"Leadership, Python, Strategy",Apr,2023,96.6
JOB00126,Deep Learning Engineer,Flipkart,Toronto,Lead,Large (1001-5000),On-site,4251418,51221,Python,"TensorFlow, Deep Learning, PyTorch",Oct,2025,53.3
JOB00127,Computer Vision Engineer,DeepMind,Hyderabad,Senior Level,Medium (201-1000),Hybrid,1873123,22567,Python,"PyTorch, Python, YOLO",Jul,2023,68.1
JOB00128,AI Engineer,Microsoft,Berlin,Entry Level,Startup (1-50),Hybrid,549033,6614,Python,"Cloud, Machine Learning, NLP",Aug,2025,79.6
JOB00129,MLOps Engineer,Netflix,Toronto,Mid Level,Startup (1-50),On-site,1217937,14673,Python,"Docker, Python, MLflow",Apr,2024,84.7
JOB00130,Computer Vision Engineer,PhonePe,Chennai,Director,Enterprise (5000+),Hybrid,4160153,50122,Python,"Deep Learning, Python, YOLO",Jul,2024,81.7
JOB00131,Machine Learning Engineer,Twitter,Berlin,Senior Level,Startup (1-50),Hybrid,1688281,20340,Python,"Python, Machine Learning, TensorFlow",Jun,2025,65.2
JOB00132,Deep Learning Engineer,Swiggy,Mumbai,Lead,Small (51-200),Remote,3232910,38950,Python,"CUDA, Python, TensorFlow",Jul,2024,82.9
JOB00133,MLOps Engineer,Swiggy,London,Senior Level,Startup (1-50),Hybrid,1849439,22282,Python,"Docker, CI/CD, Python",Jul,2023,57.6
JOB00134,AI Engineer,Spotify,Hyderabad,Entry Level,Enterprise (5000+),On-site,642623,7742,Python,"NLP, Machine Learning, Python",Oct,2025,58.9
JOB00135,Analytics Engineer,NVIDIA,Toronto,Director,Small (51-200),Hybrid,3879388,46739,SQL,"Airflow, Python, Snowflake",Feb,2024,88.4
JOB00136,Data Engineer,Oracle,Austin,Director,Small (51-200),Hybrid,5546205,66821,Python,"AWS, Airflow, SQL",Dec,2024,87.7
JOB00137,Quantitative Analyst,Spotify,Singapore,Lead,Enterprise (5000+),Hybrid,2824038,34024,Python,"Python, Finance, R",Dec,2023,77.2
JOB00138,Machine Learning Engineer,OpenAI,Austin,Director,Startup (1-50),Hybrid,4282608,51597,Python,"PyTorch, Machine Learning, TensorFlow",Mar,2023,54.5
JOB00139,Applied Scientist,Meta,London,Mid Level,Large (1001-5000),Hybrid,1346433,16222,Python,"AWS, Research, Python",Dec,2024,68.9
JOB00140,Machine Learning Engineer,Swiggy,Bangalore,Senior Level,Small (51-200),Remote,1793814,21612,Python,"Machine Learning, Python, PyTorch",Jul,2023,95.0
JOB00141,Computer Vision Engineer,Amazon,Toronto,Mid Level,Large (1001-5000),Hybrid,1240942,14951,Python,"OpenCV, YOLO, Deep Learning",Sep,2023,96.1
JOB00142,Research Scientist,DeepMind,Delhi,Director,Large (1001-5000),Remote,5382321,64847,Python,"Python, Research, PyTorch",Oct,2023,81.3
JOB00143,Research Scientist,Amazon,Delhi,Lead,Startup (1-50),On-site,2428408,29257,Python,"Statistics, Research, Deep Learning",Nov,2024,57.0
JOB00144,NLP Engineer,Salesforce,London,Entry Level,Enterprise (5000+),On-site,616617,7429,Python,"Python, Transformers, SpaCy",Jun,2024,96.7
JOB00145,MLOps Engineer,Microsoft,Bangalore,Director,Enterprise (5000+),On-site,4675420,56330,Python,"MLflow, Kubernetes, Docker",Aug,2024,86.6
JOB00146,Business Intelligence Analyst,Uber,New York,Entry Level,Medium (201-1000),On-site,670364,8076,SQL,"Power BI, Tableau, SQL",Oct,2025,67.3
JOB00147,Business Intelligence Analyst,Apple,Sydney,Mid Level,Large (1001-5000),On-site,977348,11775,SQL,"Excel, SQL, Tableau",Sep,2023,59.9
JOB00148,Quantitative Analyst,CRED,Chicago,Mid Level,Startup (1-50),On-site,962317,11594,Python,"Finance, Statistics, Python",Dec,2025,86.9
JOB00149,Data Engineer,OpenAI,Hyderabad,Senior Level,Medium (201-1000),Remote,2372240,28581,Python,"Spark, Airflow, SQL",Nov,2024,86.4
JOB00150,Applied Scientist,Paytm,Chennai,Lead,Medium (201-1000),On-site,3342552,40271,Python,"Research, Python, AWS",Aug,2024,70.8
JOB00151,NLP Engineer,Flipkart,Austin,Director,Small (51-200),On-site,4669082,56254,Python,"Transformers, SpaCy, NLP",Jul,2023,79.5
JOB00152,NLP Engineer,Zomato,London,Mid Level,Large (1001-5000),On-site,1262360,15209,Python,"BERT, Transformers, SpaCy",Aug,2025,98.0
JOB00153,Data Scientist,LinkedIn,London,Entry Level,Large (1001-5000),Remote,538797,6491,Python,"Machine Learning, SQL, Python",Sep,2025,56.2
JOB00154,Data Engineer,Twitter,Berlin,Senior Level,Medium (201-1000),On-site,2276643,27429,Python,"Airflow, Spark, SQL",Dec,2023,71.8
JOB00155,Machine Learning Engineer,OpenAI,London,Director,Small (51-200),Remote,4697823,56600,Python,"Python, PyTorch, Deep Learning",Aug,2025,59.1
JOB00156,MLOps Engineer,TCS,Delhi,Lead,Enterprise (5000+),Remote,2857111,34423,Python,"CI/CD, Kubernetes, MLflow",Jun,2024,94.9
JOB00157,Computer Vision Engineer,Salesforce,Pune,Mid Level,Startup (1-50),On-site,1535839,18504,Python,"PyTorch, Python, Deep Learning",Nov,2024,97.4
JOB00158,Business Intelligence Analyst,Salesforce,Austin,Senior Level,Startup (1-50),Hybrid,2356364,28389,SQL,"Python, Tableau, SQL",Nov,2023,98.3
JOB00159,Quantitative Analyst,Paytm,Sydney,Mid Level,Small (51-200),Hybrid,985565,11874,Python,"Optimization, R, Statistics",Jan,2025,93.3
JOB00160,Machine Learning Engineer,Apple,Sydney,Senior Level,Large (1001-5000),Remote,2416662,29116,Python,"Deep Learning, Python, Machine Learning",Sep,2024,72.8
JOB00161,MLOps Engineer,Infosys,Chennai,Senior Level,Small (51-200),On-site,1878355,22630,Python,"Python, CI/CD, Kubernetes",Oct,2023,57.5
JOB00162,Data Analyst,Anthropic,New York,Mid Level,Medium (201-1000),Remote,1341675,16164,SQL,"Excel, Python, Power BI",Jul,2025,96.9
JOB00163,AI Engineer,Twitter,Mumbai,Mid Level,Medium (201-1000),Remote,1408547,16970,Python,"Cloud, Deep Learning, NLP",Sep,2023,52.0
JOB00164,Data Science Manager,Tesla,Hyderabad,Entry Level,Startup (1-50),On-site,526138,6339,Python,"Leadership, Strategy, Machine Learning",Dec,2025,81.3
JOB00165,Computer Vision Engineer,CRED,Austin,Director,Medium (201-1000),Hybrid,5150278,62051,Python,"PyTorch, Python, Deep Learning",Aug,2025,52.9
JOB00166,Computer Vision Engineer,Twitter,Toronto,Lead,Large (1001-5000),Hybrid,3398134,40941,Python,"Deep Learning, YOLO, OpenCV",May,2025,56.4
JOB00167,Business Intelligence Analyst,Airbnb,Delhi,Director,Enterprise (5000+),Hybrid,5054890,60902,SQL,"Excel, Tableau, SQL",Jul,2024,54.7
JOB00168,AI Engineer,Flipkart,Singapore,Lead,Enterprise (5000+),On-site,4110460,49523,Python,"Deep Learning, Machine Learning, Python",Jun,2023,74.4
JOB00169,MLOps Engineer,CRED,Austin,Lead,Large (1001-5000),On-site,3082213,37135,Python,"MLflow, Docker, Python",Aug,2023,78.6
JOB00170,Data Scientist,HCL,Sydney,Entry Level,Medium (201-1000),Hybrid,532163,6411,Python,"TensorFlow, Python, SQL",Sep,2025,71.1
JOB00171,Applied Scientist,Meta,Berlin,Senior Level,Medium (201-1000),On-site,1906460,22969,Python,"AWS, Machine Learning, Statistics",Jul,2024,77.1
JOB00172,Machine Learning Engineer,Airbnb,Toronto,Lead,Enterprise (5000+),Remote,2808411,33836,Python,"Python, TensorFlow, Machine Learning",Oct,2024,88.9
JOB00173,Business Intelligence Analyst,CRED,Pune,Director,Medium (201-1000),On-site,4447956,53589,SQL,"SQL, Python, Excel",May,2025,56.7
JOB00174,Business Intelligence Analyst,Spotify,Toronto,Lead,Enterprise (5000+),Hybrid,3363752,40527,SQL,"Python, Power BI, SQL",May,2025,69.3
